reference	retake	time	m1	m2	count_detected	scorecolor	score1	score2
Image_228.jpg	Image_228_blur_2_scaled_107.jpg	20.88	41	40	40	0.9876543209876543	0.4570642795513373	0.823023259994248
Image_228.jpg	Image_228_blur_1_scaled_90.jpg	22.26	41	41	39	0.9512195121951219	0.43366677451826285	0.7122857348288755
Image_228.jpg	Image_228.jpg	22.31	41	41	41	1.0	1.0	1.0
Image_228.jpg	Image_228_blur_1_scaled_91.jpg	22.31	41	41	41	1.0	0.47840110008628123	0.7411437661777395
Image_228.jpg	Image_228_blur_1_scaled_92.jpg	22.01	41	40	40	0.9876543209876543	0.46835238711532934	0.734325747771067
Image_228.jpg	Image_228_blur_1_scaled_94.jpg	22.11	41	41	39	0.9512195121951219	0.46543823698590736	0.732073626689675
Image_228.jpg	Image_228_blur_1_scaled_93.jpg	22.22	41	41	38	0.926829268292683	0.42446793212539546	0.710230442910555
Image_228.jpg	Image_228_blur_1_scaled_95.jpg	21.32	41	40	40	0.9876543209876543	0.47705690969226344	0.7385253091745758
Image_228.jpg	Image_228_blur_1_scaled_96.jpg	21.52	41	41	41	1.0	0.5114247195858499	0.7573414581535807
Image_228.jpg	Image_228_blur_1_scaled_97.jpg	21.54	41	40	40	0.9876543209876543	0.48259562841530057	0.7416215487489215
Image_228.jpg	Image_228_blur_1_scaled_98.jpg	21.08	41	40	40	0.9876543209876543	0.5058851020995111	0.752885030198447
Image_228.jpg	Image_228_blur_1_scaled_99.jpg	21.22	41	40	40	0.9876543209876543	0.5172050258843831	0.7600742378487202
Image_228.jpg	Image_228_blur_1_scaled_100.jpg	21.23	41	41	41	1.0	0.8173844190394017	0.9037384958297383
Image_228.jpg	Image_228_blur_1_scaled_101.jpg	21.12	41	41	41	1.0	0.48150255248777685	0.7070766824849007
Image_228.jpg	Image_228_blur_1_scaled_102.jpg	21.17	41	40	40	0.9876543209876543	0.4914027897612885	0.7133396246764452
Image_228.jpg	Image_228_blur_1_scaled_103.jpg	21.2	41	41	41	1.0	0.49576125251653724	0.7143234109864826
Image_228.jpg	Image_228_blur_1_scaled_104.jpg	21.53	41	40	40	0.9876543209876543	0.48826826287029046	0.7092793715846994
Image_228.jpg	Image_228_blur_1_scaled_105.jpg	21.38	41	42	39	0.9397590361445783	0.46664797238999134	0.6981075639919471
Image_228.jpg	Image_228_blur_1_scaled_106.jpg	21.57	41	40	40	0.9876543209876543	0.5328325424216278	0.7338159692263445
Image_228.jpg	Image_228_blur_1_scaled_108.jpg	21.45	41	41	41	1.0	0.4963822979580098	0.7182202689099799
Image_228.jpg	Image_228_blur_1_scaled_107.jpg	21.85	41	40	40	0.9876543209876543	0.5206187086568881	0.7300566220880069
Image_228.jpg	Image_228_blur_1_scaled_109.jpg	21.37	41	40	40	0.9876543209876543	0.4600221095772218	0.7031174503882658
Image_228.jpg	Image_228_blur_1_scaled_110.jpg	21.17	41	39	20	0.5	0.275255788035663	0.5796987345412712
Image_228.jpg	Image_228_blur_2_scaled_91.jpg	21.29	41	40	40	0.9876543209876543	0.4137056010928962	0.8272747699165948
Image_228.jpg	Image_228_blur_2_scaled_90.jpg	21.55	41	41	40	0.975609756097561	0.40846311475409836	0.8206266177739431
Image_228.jpg	Image_228_blur_2_scaled_92.jpg	21.07	41	40	40	0.9876543209876543	0.41535806729939606	0.8269458225481737
Image_228.jpg	Image_228_blur_2_scaled_94.jpg	21.22	41	40	39	0.9629629629629629	0.3642001006614898	0.7760163215415589
Image_228.jpg	Image_228_blur_2_scaled_93.jpg	21.29	41	40	40	0.9876543209876543	0.41741677451826287	0.8248644664941042
Image_228.jpg	Image_228_blur_2_scaled_95.jpg	21.21	41	40	40	0.9876543209876543	0.41287442479148695	0.8245991515674432
Image_228.jpg	Image_228_blur_2_scaled_96.jpg	21.31	41	40	40	0.9876543209876543	0.42380608283002585	0.8311651567443198
Image_228.jpg	Image_228_blur_2_scaled_97.jpg	21.37	41	40	40	0.9876543209876543	0.4098508052919183	0.8209429824561404
Image_228.jpg	Image_228_blur_2_scaled_98.jpg	21.43	41	40	40	0.9876543209876543	0.3931230227207363	0.8052800546448088
Image_228.jpg	Image_228_blur_2_scaled_99.jpg	21.28	41	40	40	0.9876543209876543	0.4348894521138913	0.8381568162208801
Image_228.jpg	Image_228_blur_2_scaled_100.jpg	21.43	41	41	41	1.0	0.48780288323267185	0.8792132226056946
Image_228.jpg	Image_228_blur_2_scaled_101.jpg	20.97	41	40	40	0.9876543209876543	0.44020653580672997	0.8086374748346276
Image_228.jpg	Image_228_blur_2_scaled_102.jpg	20.84	41	41	38	0.926829268292683	0.42907607132585557	0.7988321469657751
Image_228.jpg	Image_228_blur_2_scaled_103.jpg	21.07	41	40	40	0.9876543209876543	0.44993043572044866	0.8169769197584125
Image_228.jpg	Image_228_blur_2_scaled_104.jpg	20.93	41	41	41	1.0	0.4428490796663791	0.8078007262007477
Image_228.jpg	Image_228_blur_2_scaled_105.jpg	21.06	41	40	40	0.9876543209876543	0.4442676876617774	0.8131548389416163
Image_228.jpg	Image_228_blur_2_scaled_106.jpg	21.21	41	40	40	0.9876543209876543	0.4559091889559965	0.8191048317515099
Image_228.jpg	Image_228_blur_2_scaled_107.jpg	20.54	41	40	40	0.9876543209876543	0.4570642795513373	0.823023259994248
Image_228.jpg	Image_228_blur_1_scaled_92.jpg	22.93	41	40	40	0.9876543209876543	0.46835238711532934	0.734325747771067
Image_228.jpg	Image_228_blur_1_scaled_90.jpg	23.06	41	41	39	0.9512195121951219	0.43366677451826285	0.7122857348288755
Image_228.jpg	Image_228.jpg	23.24	41	41	41	1.0	1.0	1.0
Image_228.jpg	Image_228_blur_1_scaled_91.jpg	23.3	41	41	41	1.0	0.47840110008628123	0.7411437661777395
Image_228.jpg	Image_228_blur_1_scaled_93.jpg	21.94	41	41	38	0.926829268292683	0.42446793212539546	0.710230442910555
Image_228.jpg	Image_228_blur_1_scaled_94.jpg	22.11	41	41	39	0.9512195121951219	0.46543823698590736	0.732073626689675
Image_228.jpg	Image_228_blur_1_scaled_95.jpg	21.98	41	40	40	0.9876543209876543	0.47705690969226344	0.7385253091745758
Image_228.jpg	Image_228_blur_1_scaled_96.jpg	22.15	41	41	41	1.0	0.5114247195858499	0.7573414581535807
Image_228.jpg	Image_228_blur_1_scaled_97.jpg	21.71	41	40	40	0.9876543209876543	0.48259562841530057	0.7416215487489215
Image_228.jpg	Image_228_blur_1_scaled_98.jpg	21.84	41	40	40	0.9876543209876543	0.5058851020995111	0.752885030198447
Image_228.jpg	Image_228_blur_1_scaled_99.jpg	21.91	41	40	40	0.9876543209876543	0.5172050258843831	0.7600742378487202
Image_228.jpg	Image_228_blur_1_scaled_100.jpg	21.9	41	41	41	1.0	0.8173844190394017	0.9037384958297383
Image_228.jpg	Image_228_blur_1_scaled_101.jpg	21.86	41	41	41	1.0	0.48150255248777685	0.7070766824849007
Image_228.jpg	Image_228_blur_1_scaled_102.jpg	21.91	41	40	40	0.9876543209876543	0.4914027897612885	0.7133396246764452
Image_228.jpg	Image_228_blur_1_scaled_103.jpg	21.9	41	41	41	1.0	0.49576125251653724	0.7143234109864826
Image_228.jpg	Image_228_blur_1_scaled_104.jpg	21.86	41	40	40	0.9876543209876543	0.48826826287029046	0.7092793715846994
Image_228.jpg	Image_228_blur_1_scaled_105.jpg	21.92	41	42	39	0.9397590361445783	0.46664797238999134	0.6981075639919471
Image_228.jpg	Image_228_blur_1_scaled_106.jpg	21.86	41	40	40	0.9876543209876543	0.5328325424216278	0.7338159692263445
Image_228.jpg	Image_228_blur_1_scaled_107.jpg	21.88	41	40	40	0.9876543209876543	0.5206187086568881	0.7300566220880069
Image_228.jpg	Image_228_blur_1_scaled_108.jpg	21.82	41	41	41	1.0	0.4963822979580098	0.7182202689099799
Image_228.jpg	Image_228_blur_1_scaled_109.jpg	22.08	41	40	40	0.9876543209876543	0.4600221095772218	0.7031174503882658
Image_228.jpg	Image_228_blur_1_scaled_110.jpg	22.09	41	39	20	0.5	0.275255788035663	0.5796987345412712
Image_228.jpg	Image_228_blur_2_scaled_90.jpg	22.11	41	41	40	0.975609756097561	0.40846311475409836	0.8206266177739431
Image_228.jpg	Image_228_blur_2_scaled_91.jpg	22.01	41	40	40	0.9876543209876543	0.4137056010928962	0.8272747699165948
Image_228.jpg	Image_228_blur_2_scaled_92.jpg	21.84	41	40	40	0.9876543209876543	0.41535806729939606	0.8269458225481737
Image_228.jpg	Image_228_blur_2_scaled_93.jpg	21.76	41	40	40	0.9876543209876543	0.41741677451826287	0.8248644664941042
Image_228.jpg	Image_228_blur_2_scaled_94.jpg	21.9	41	40	39	0.9629629629629629	0.3642001006614898	0.7760163215415589
Image_228.jpg	Image_228_blur_2_scaled_95.jpg	21.9	41	40	40	0.9876543209876543	0.41287442479148695	0.8245991515674432
Image_228.jpg	Image_228_blur_2_scaled_96.jpg	21.82	41	40	40	0.9876543209876543	0.42380608283002585	0.8311651567443198
Image_228.jpg	Image_228_blur_2_scaled_97.jpg	21.59	41	40	40	0.9876543209876543	0.4098508052919183	0.8209429824561404
Image_228.jpg	Image_228_blur_2_scaled_98.jpg	21.7	41	40	40	0.9876543209876543	0.3931230227207363	0.8052800546448088
Image_228.jpg	Image_228_blur_2_scaled_99.jpg	21.68	41	40	40	0.9876543209876543	0.4348894521138913	0.8381568162208801
Image_228.jpg	Image_228_blur_2_scaled_100.jpg	21.99	41	41	41	1.0	0.48780288323267185	0.8792132226056946
Image_228.jpg	Image_228_blur_2_scaled_101.jpg	22.01	41	40	40	0.9876543209876543	0.44020653580672997	0.8086374748346276
Image_228.jpg	Image_228_blur_2_scaled_103.jpg	21.83	41	40	40	0.9876543209876543	0.44993043572044866	0.8169769197584125
Image_228.jpg	Image_228_blur_2_scaled_102.jpg	21.85	41	41	38	0.926829268292683	0.42907607132585557	0.7988321469657751
Image_228.jpg	Image_228_blur_2_scaled_104.jpg	21.7	41	41	41	1.0	0.4428490796663791	0.8078007262007477
Image_228.jpg	Image_228_blur_2_scaled_105.jpg	21.99	41	40	40	0.9876543209876543	0.4442676876617774	0.8131548389416163
Image_228.jpg	Image_228_blur_2_scaled_106.jpg	21.89	41	40	40	0.9876543209876543	0.4559091889559965	0.8191048317515099
Image_228.jpg	Image_228_blur_2_scaled_107.jpg	21.88	41	40	40	0.9876543209876543	0.4570642795513373	0.823023259994248
Image_228.jpg	Image_228_blur_1_scaled_90.jpg	22.02	41	41	39	0.9512195121951219	0.43366677451826285	0.7122857348288755
Image_228.jpg	Image_228_blur_1_scaled_92.jpg	22.02	41	40	40	0.9876543209876543	0.46835238711532934	0.734325747771067
Image_228.jpg	Image_228_blur_1_scaled_93.jpg	23.94	41	41	38	0.926829268292683	0.42446793212539546	0.710230442910555
Image_228.jpg	Image_228_blur_1_scaled_91.jpg	24.81	41	41	41	1.0	0.47840110008628123	0.7411437661777395
Image_228.jpg	Image_228.jpg	27.37	41	41	41	1.0	1.0	1.0
Image_228.jpg	Image_228_blur_1_scaled_94.jpg	21.52	41	41	39	0.9512195121951219	0.46543823698590736	0.732073626689675
Image_228.jpg	Image_228_blur_1_scaled_95.jpg	21.9	41	40	40	0.9876543209876543	0.47705690969226344	0.7385253091745758
Image_228.jpg	Image_228_blur_1_scaled_97.jpg	23.71	41	40	40	0.9876543209876543	0.48259562841530057	0.7416215487489215
Image_228.jpg	Image_228_blur_1_scaled_96.jpg	24.86	41	41	41	1.0	0.5114247195858499	0.7573414581535807
Image_228.jpg	Image_228_blur_1_scaled_98.jpg	25.89	41	40	40	0.9876543209876543	0.5058851020995111	0.752885030198447
Image_228.jpg	Image_228_blur_1_scaled_100.jpg	21.15	41	41	41	1.0	0.8173844190394017	0.9037384958297383
Image_228.jpg	Image_228_blur_1_scaled_99.jpg	22.93	41	40	40	0.9876543209876543	0.5172050258843831	0.7600742378487202
Image_228.jpg	Image_228_blur_1_scaled_101.jpg	21.24	41	41	41	1.0	0.48150255248777685	0.7070766824849007
Image_228.jpg	Image_228_blur_1_scaled_102.jpg	27.26	41	40	40	0.9876543209876543	0.4914027897612885	0.7133396246764452
Image_228.jpg	Image_228_blur_1_scaled_103.jpg	24.95	41	41	41	1.0	0.49576125251653724	0.7143234109864826
Image_228.jpg	Image_228_blur_1_scaled_104.jpg	21.33	41	40	40	0.9876543209876543	0.48826826287029046	0.7092793715846994
Image_228.jpg	Image_228_blur_1_scaled_105.jpg	22.76	41	42	39	0.9397590361445783	0.46664797238999134	0.6981075639919471
Image_228.jpg	Image_228_blur_1_scaled_106.jpg	23.63	41	40	40	0.9876543209876543	0.5328325424216278	0.7338159692263445
Image_228.jpg	Image_228_blur_1_scaled_107.jpg	21.31	41	40	40	0.9876543209876543	0.5206187086568881	0.7300566220880069
Image_228.jpg	Image_228_blur_1_scaled_108.jpg	22.22	41	41	41	1.0	0.4963822979580098	0.7182202689099799
Image_228.jpg	Image_228_blur_1_scaled_110.jpg	23.52	41	39	20	0.5	0.275255788035663	0.5796987345412712
Image_228.jpg	Image_228_blur_1_scaled_109.jpg	27.11	41	40	40	0.9876543209876543	0.4600221095772218	0.7031174503882658
Image_228.jpg	Image_228_blur_2_scaled_90.jpg	21.13	41	41	40	0.975609756097561	0.40846311475409836	0.8206266177739431
Image_228.jpg	Image_228_blur_2_scaled_91.jpg	21.24	41	40	40	0.9876543209876543	0.4137056010928962	0.8272747699165948
Image_228.jpg	Image_228_blur_2_scaled_92.jpg	27.1	41	40	40	0.9876543209876543	0.41535806729939606	0.8269458225481737
Image_228.jpg	Image_228_blur_2_scaled_93.jpg	21.04	41	40	40	0.9876543209876543	0.41741677451826287	0.8248644664941042
Image_228.jpg	Image_228_blur_2_scaled_95.jpg	20.99	41	40	40	0.9876543209876543	0.41287442479148695	0.8245991515674432
Image_228.jpg	Image_228_blur_2_scaled_96.jpg	21.29	41	40	40	0.9876543209876543	0.42380608283002585	0.8311651567443198
Image_228.jpg	Image_228_blur_2_scaled_94.jpg	27.31	41	40	39	0.9629629629629629	0.3642001006614898	0.7760163215415589
Image_228.jpg	Image_228_blur_2_scaled_97.jpg	27.2	41	40	40	0.9876543209876543	0.4098508052919183	0.8209429824561404
Image_228.jpg	Image_228_blur_2_scaled_98.jpg	21.24	41	40	40	0.9876543209876543	0.3931230227207363	0.8052800546448088
Image_228.jpg	Image_228_blur_2_scaled_99.jpg	21.15	41	40	40	0.9876543209876543	0.4348894521138913	0.8381568162208801
Image_228.jpg	Image_228_blur_2_scaled_100.jpg	21.31	41	41	41	1.0	0.48780288323267185	0.8792132226056946
Image_228.jpg	Image_228_blur_2_scaled_101.jpg	27.53	41	40	40	0.9876543209876543	0.44020653580672997	0.8086374748346276
Image_228.jpg	Image_228_blur_2_scaled_103.jpg	21.16	41	40	40	0.9876543209876543	0.44993043572044866	0.8169769197584125
Image_228.jpg	Image_228_blur_2_scaled_104.jpg	21.29	41	41	41	1.0	0.4428490796663791	0.8078007262007477
Image_228.jpg	Image_228_blur_2_scaled_102.jpg	26.49	41	41	38	0.926829268292683	0.42907607132585557	0.7988321469657751
Image_228.jpg	Image_228_blur_2_scaled_105.jpg	21.32	41	40	40	0.9876543209876543	0.4442676876617774	0.8131548389416163
Image_228.jpg	Image_228_blur_2_scaled_106.jpg	23.01	41	40	40	0.9876543209876543	0.4559091889559965	0.8191048317515099
Image_228.jpg	Image_228_blur_2_scaled_107.jpg	20.67	41	40	40	0.9876543209876543	0.4570642795513373	0.823023259994248
Image_228.jpg	Image_228_blur_1_scaled_92.jpg	24.76	41	40	40	0.9876543209876543	0.46835238711532934	0.734325747771067
Image_228.jpg	Image_228_blur_1_scaled_90.jpg	25.49	41	41	39	0.9512195121951219	0.43366677451826285	0.7122857348288755
Image_228.jpg	Image_228_blur_1_scaled_91.jpg	25.57	41	41	41	1.0	0.47840110008628123	0.7411437661777395
Image_228.jpg	Image_228_blur_1_scaled_93.jpg	25.89	41	41	38	0.926829268292683	0.42446793212539546	0.710230442910555
Image_228.jpg	Image_228_blur_1_scaled_94.jpg	26.68	41	41	39	0.9512195121951219	0.46543823698590736	0.732073626689675
Image_228.jpg	Image_228.jpg	27.98	41	41	41	1.0	1.0	1.0
Image_228.jpg	Image_228_blur_1_scaled_97.jpg	24.29	41	40	40	0.9876543209876543	0.48259562841530057	0.7416215487489215
Image_228.jpg	Image_228_blur_1_scaled_98.jpg	24.72	41	40	40	0.9876543209876543	0.5058851020995111	0.752885030198447
Image_228.jpg	Image_228_blur_1_scaled_99.jpg	24.1	41	40	40	0.9876543209876543	0.5172050258843831	0.7600742378487202
Image_228.jpg	Image_228_blur_1_scaled_96.jpg	25.99	41	41	41	1.0	0.5114247195858499	0.7573414581535807
Image_228.jpg	Image_228_blur_1_scaled_100.jpg	24.39	41	41	41	1.0	0.8173844190394017	0.9037384958297383
Image_228.jpg	Image_228_blur_1_scaled_95.jpg	27.7	41	40	40	0.9876543209876543	0.47705690969226344	0.7385253091745758
Image_228.jpg	Image_228_blur_1_scaled_104.jpg	21.87	41	40	40	0.9876543209876543	0.48826826287029046	0.7092793715846994
Image_228.jpg	Image_228_blur_1_scaled_102.jpg	25.24	41	40	40	0.9876543209876543	0.4914027897612885	0.7133396246764452
Image_228.jpg	Image_228_blur_1_scaled_105.jpg	24.35	41	42	39	0.9397590361445783	0.46664797238999134	0.6981075639919471
Image_228.jpg	Image_228_blur_1_scaled_101.jpg	27.75	41	41	41	1.0	0.48150255248777685	0.7070766824849007
Image_228.jpg	Image_228_blur_1_scaled_103.jpg	27.18	41	41	41	1.0	0.49576125251653724	0.7143234109864826
